TotalTelephoneInquiries,TotalCorrespondence,TotalOnsiteUsers,TotalItemsRetrieved,TotalMicrofilmReelsShipped,TotalReproductions,TotalCertifications
1094,825,384,1809,148,120,42
1454,877,559,1867,45,187,52
1124,720,516,1936,55,134,36
1587,846,480,1917,61,167,42
1214,721,393,1142,60,167,71
1138,753,417,1447,65,162,38
1344,848,490,1546,50,159,72
1001,695,634,1818,93,155,49
839,529,318,1232,45,125,42
1346,783,434,2073,31,125,37
1218,774,455,1472,76,119,39
636,452,208,863,24,72,30
1211,1138,431,1924,112,187,76
1210,984,351,1801,140,230,73
960,947,440,1853,119,157,54
1077,1051,427,2546,128,158,59
1499,942,509,2816,118,229,46
1123,852,445,1611,112,160,56
1256,994,378,2000,112,170,50
1035,891,449,1872,82,160,37
745,582,226,1275,74,96,43
1262,883,330,1590,68,119,44
1094,836,340,1172,79,147,53
1234,942,451,1819,121,150,54
1257,892,390,1876,154,166,42
1548,996,488,2448,184,193,36
1207,811,411,1875,143,187,42
1112,797,402,2014,149,161,32
1127,932,502,2142,116,170,53
1051,838,326,1329,125,150,49
1456,914,426,2023,116,147,38
1361,834,397,1978,124,183,43
840,632,236,871,88,127,22
1429,992,396,2015,127,165,41
1191,998,424,1656,100,183,51
1109,1025,381,1440,150,177,40
1053,778,336,2351,280,176,29
913,756,360,1947,171,180,37
996,671,470,1834,173,163,21
957,675,378,2364,124,165,31
1014,669,449,1417,112,162,38
929,674,417,1550,175,165,28
938,800,440,1643,113,152,24
1004,833,398,1597,201,165,39
878,653,432,1084,132,104,26
1104,843,341,1505,203,151,50
1178,955,412,2003,220,353,52
1675,1156,486,2167,256,204,55
1176,722,399,2035,218,141,33
953,689,405,1962,252,193,37
1126,675,556,1958,267,220,52
1116,778,367,1782,280,200,49
1109,763,375,1950,189,181,40
1107,839,388,1556,171,173,32
985,821,764,1890,139,173,46
861,686,292,1687,195,165,34
743,655,305,1130,189,150,39
997,1018,599,2100,199,172,45
990,779,486,1790,225,160,35
1031,885,442,2104,161,196,45
1301,723,412,2240,242,207,45
1245,643,424,3078,323,230,55
1123,621,393,3045,172,203,43
1206,613,428,2672,244,221,70
1053,561,366,2078,196,207,70
1112,647,402,1884,255,224,48
1083,736,455,1921,304,217,92
987,633,384,1809,245,194,52
798,458,286,1672,142,229,51
1058,734,456,2042,154,185,47
1103,757,434,1964,195,171,36
1191,825,379,2328,135,199,37
1322,656,452,2170,343,232,51
1163,645,453,2422,198,228,53
995,590,471,2637,315,174,36
1183,672,426,2722,184,57,48
1056,676,412,2177,265,251,81
1140,605,379,1532,110,229,46
1190,821,512,2157,194,239,44
1044,716,599,1885,215,191,42
787,477,310,1508,89,183,24
1197,776,434,1821,258,175,58
1114,727,487,2029,169,256,49
1260,804,505,2336,226,217,54
1172,811,530,1643,222,242,53
1555,784,567,1679,239,369,68
1329,681,565,1546,246,245,52
1229,727,511,1919,339,211,43
1358,749,570,1716,288,243,43
1298,713,529,2081,147,232,55
1377,941,566,1725,306,219,44
1326,761,596,2018,187,238,54
788,434,342,1603,161,203,40
1352,697,442,2574,85,274,41
1192,647,398,2918,239,211,68
1170,627,471,3203,313,180,29
1281,498,629,2044,476,219,34
1510,597,548,1532,310,378,41
1306,613,698,1344,425,343,37
1298,543,649,2216,388,201,42
1308,675,630,1842,484,221,42
1243,758,540,2494,457,240,42
1197,677,596,3080,306,250,47
1307,676,645,3616,536,272,47
907,485,402,1743,226,201,25
1365,730,552,1945,270,331,49
1345,760,672,2160,299,255,38
1430,838,754,2546,383,271,50
1313,747,372,2525,774,15505,51
1346,763,517,1528,300,35041,44
1473,643,519,2370,503,34215,28
1384,651,562,3277,537,30365,56
1585,721,485,2339,163,33909,61
1519,680,502,1525,529,17758,49
1277,643,615,1777,458,13610,26
1393,665,968,1717,571,15895,38
965,511,415,1773,282,14033,40
1320,637,393,1900,446,18404,41
1436,587,666,2083,405,15167,41
1674,656,770,2920,601,18228,46
