Fiscal Year,Month,Total Telephone Inquiries,Total Correspondence,Total Onsite Users,Total Items Retrieved,Total Microfilm Reels Shipped,Total Reproductions,Total Certifications
2019-2020,April,1094,825,384,1809,148,120,42
2019-2020,May,1454,877,559,1867,45,187,52
2019-2020,June,1124,720,516,1936,55,134,36
2019-2020,July,1587,846,480,1917,61,167,42
2019-2020,August,1214,721,393,1142,60,167,71
2019-2020,September,1138,753,417,1447,65,162,38
2019-2020,October,1344,848,490,1546,50,159,72
2019-2020,November,1001,695,634,1818,93,155,49
2019-2020,December,839,529,318,1232,45,125,42
2019-2020,January,1346,783,434,2073,31,125,37
2019-2020,February,1218,774,455,1472,76,119,39
2019-2020,March,636,452,208,863,24,72,30
2018-2019,April,1211,1138,431,1924,112,187,76
2018-2019,May,1210,984,351,1801,140,230,73
2018-2019,June,960,947,440,1853,119,157,54
2018-2019,July,1077,1051,427,2546,128,158,59
2018-2019,August,1499,942,509,2816,118,229,46
2018-2019,September,1123,852,445,1611,112,160,56
2018-2019,October,1256,994,378,2000,112,170,50
2018-2019,November,1035,891,449,1872,82,160,37
2018-2019,December,745,582,226,1275,74,96,43
2018-2019,January,1262,883,330,1590,68,119,44
2018-2019,February,1094,836,340,1172,79,147,53
2018-2019,March,1234,942,451,1819,121,150,54
2017-2018,April,1257,892,390,1876,154,166,42
2017-2018,May,1548,996,488,2448,184,193,36
2017-2018,June,1207,811,411,1875,143,187,42
2017-2018,July,1112,797,402,2014,149,161,32
2017-2018,August,1127,932,502,2142,116,170,53
2017-2018,September,1051,838,326,1329,125,150,49
2017-2018,October,1456,914,426,2023,116,147,38
2017-2018,November,1361,834,397,1978,124,183,43
2017-2018,December,840,632,236,871,88,127,22
2017-2018,January,1429,992,396,2015,127,165,41
2017-2018,February,1191,998,424,1656,100,183,51
2017-2018,March,1109,1025,381,1440,150,177,40
2016-2017,April,1053,778,336,2351,280,176,29
2016-2017,May,913,756,360,1947,171,180,37
2016-2017,June,996,671,470,1834,173,163,21
2016-2017,July,957,675,378,2364,124,165,31
2016-2017,August,1014,669,449,1417,112,162,38
2016-2017,September,929,674,417,1550,175,165,28
2016-2017,October,938,800,440,1643,113,152,24
2016-2017,November,1004,833,398,1597,201,165,39
2016-2017,December,878,653,432,1084,132,104,26
2016-2017,January,1104,843,341,1505,203,151,50
2016-2017,February,1178,955,412,2003,220,353,52
2016-2017,March,1675,1156,486,2167,256,204,55
2015-2016,April,1176,722,399,2035,218,141,33
2015-2016,May,953,689,405,1962,252,193,37
2015-2016,June,1126,675,556,1958,267,220,52
2015-2016,July,1116,778,367,1782,280,200,49
2015-2016,August,1109,763,375,1950,189,181,40
2015-2016,September,1107,839,388,1556,171,173,32
2015-2016,October,985,821,764,1890,139,173,46
2015-2016,November,861,686,292,1687,195,165,34
2015-2016,December,743,655,305,1130,189,150,39
2015-2016,January,997,1018,599,2100,199,172,45
2015-2016,February,990,779,486,1790,225,160,35
2015-2016,March,1031,885,442,2104,161,196,45
2014-2015,April,1301,723,412,2240,242,207,45
2014-2015,May,1245,643,424,3078,323,230,55
2014-2015,June,1123,621,393,3045,172,203,43
2014-2015,July,1206,613,428,2672,244,221,70
2014-2015,August,1053,561,366,2078,196,207,70
2014-2015,September,1112,647,402,1884,255,224,48
2014-2015,October,1083,736,455,1921,304,217,92
2014-2015,November,987,633,384,1809,245,194,52
